[med_do] START | arch=doubleo dim=128 layers=4 tasks=4 params=806,784 clamp=2.0 norm=rmsnorm
[med_do] Logic 900/1500 losses=['2.524', '4.003', '1.504', '6.873'] elapsed=193s eta=128s
[med_do] Logic 1000/1500 losses=['2.496', '3.973', '1.534', '6.790'] elapsed=214s eta=107s
[med_do] Logic 1100/1500 losses=['2.490', '4.030', '1.598', '6.858'] elapsed=235s eta=85s
[med_do] Logic 1200/1500 losses=['2.517', '4.022', '1.604', '6.959'] elapsed=255s eta=64s
[med_do] Logic 1300/1500 losses=['2.510', '4.038', '1.699', '6.996'] elapsed=278s eta=43s
[med_do] Logic 1400/1500 losses=['2.512', '3.994', '1.781', '7.066'] elapsed=298s eta=21s
[med_do] Logic DONE in 319s final=['2.5124', '4.0161', '1.7328', '6.9610']
[med_do] Spell 0/1500 losses=['2.504', '4.047', '1.737', '6.651'] elapsed=5s eta=0s
[med_do] Spell 100/1500 losses=['2.592', '4.509', '1.763', '1.071'] elapsed=26s eta=363s
[med_do] Spell 200/1500 losses=['2.588', '4.494', '1.853', '1.051'] elapsed=47s eta=306s
[med_do] Spell 300/1500 losses=['2.603', '4.466', '1.839', '1.037'] elapsed=69s eta=274s
[med_do] Spell 400/1500 losses=['2.620', '4.434', '1.875', '1.012'] elapsed=90s eta=247s
[med_do] Spell 500/1500 losses=['2.601', '4.507', '1.881', '1.015'] elapsed=111s eta=222s
[med_do] Spell 600/1500 losses=['2.611', '4.553', '1.880', '1.012'] elapsed=133s eta=199s
[med_do] Spell 700/1500 losses=['2.590', '4.483', '1.959', '1.005'] elapsed=153s eta=175s
[med_do] Spell 800/1500 losses=['2.573', '4.471', '1.981', '1.004'] elapsed=173s eta=151s
[med_do] Spell 900/1500 losses=['2.601', '4.457', '2.160', '1.007'] elapsed=196s eta=130s
[med_do] Spell 1000/1500 losses=['2.613', '4.500', '2.204', '0.998'] elapsed=218s eta=109s
[med_do] Spell 1100/1500 losses=['2.640', '4.441', '2.277', '0.973'] elapsed=239s eta=87s
[med_do] Spell 1200/1500 losses=['2.662', '4.386', '2.388', '0.977'] elapsed=262s eta=65s
[med_do] Spell 1300/1500 losses=['2.687', '4.497', '2.515', '0.958'] elapsed=283s eta=43s
[med_do] Spell 1400/1500 losses=['2.695', '4.449', '2.608', '0.944'] elapsed=305s eta=22s
[med_do] Spell DONE in 328s final=['2.6646', '4.4770', '2.6902', '0.9390']
[med_do] FINISHED in 1726s (28.8min)
[med_do] Saved results to /home/ubuntu/DoubleO/scripts/../data/sweep/med_do.json
